"ResponseId","Participant.ID","group_4","EssayProduceAGraph","EssayLearningR","EssayRBenefits"
"R_6Dkcl2vDUultRHH","66c48d9a","R Class before advanced","I would first identify what type of data I'm working with and determine what question I am answering. Using R studio, I'd chose a model that best fits my data and use either base R or ggplot to create a graph with corresponding x and y labels with an informational caption underneath. I'd also add color and a key to improve the readability of the graph. ","Becoming confident in catching all mistakes in data sets, knowing what functions do what and when to use them, and knowing how to format my code so that the function will work. In class, I feel confident in my own code since I'm following a worksheet, but I'm worried how well I'd do with my own dataset with no worksheet to follow. ","I think in my future I will be using R since I'd like to continue doing research in wildlife ecology. I'd like to become more comfortable with data carpentry and using models since I feel like these would be important skills to have in this field. "
"R_7Jg9bWLGy9SjXuF","66c48d9a","R Class before advanced","I would evaluate what kind of data I have and what kind of question I'm investigating in order to decide which graph I want to use. I'd probably use R studio as my programming language, and I'd use several colors or patterns to help the graph become visually appealing. ","Understanding how to format different functions, when the best time for using different functions, and how to use the function to its fullest extent. ","Calculations, simplification, and visualization of data. It's just a big stats calculator that helps scientists analyze their data. "
"R_7lQgiGGPh6g83Nu","683fd65d","Advanced only","Before this class I definitely would have used excel to generate graphs. However, due to the greater quality as well as control, all of which I have learned in class, I would now us R, specifically ggplot, to generate these graphs. The exact process that I would use would be dependent on the context of the graph that I would be making.   ","None. ","Greater ability to be prepared for the workforce as well as candidate for hire. I have a greater understanding of statistics as well. "
"R_7mlPrSGp8kidN95","69375565","R Class only","I would organize the data properly , then determine which kind of graph is most appropriate, then i would use that graphing function on the data, and specify any  titles, colors, labels that i want. ","Being stressed about other classes definitely got in the way of me having the time to really sit down and properly learn some of the concepts.","They are definitely useful tools for carrying out very specific tasks. "
"R_7q7YkYCd8Fw4fBZ","6c882239","R Class only","With my new knowledge of R, I would try to produce the graph in R. I would do this by uploading my data into the system and using those variables to produce the graph needed. If I had trouble with this, I would likely try making the graph in Excel as well. ","My biggest challenge in learning R is remembering everything, but there is where repetition is important. Over time I have started to get the hang of it more, but there are still times where I forget how something should be done or I cannot figure out the approach to it. It is basically learning a new language so it can be a lot to remember and then apply. ","I see numerous benefits from using R as it is a resourceful tool. I personally see it as a beneficial tool and a great skill to know. It is also great for resumes and for future job opportunities. "
"R_3W4asZdevX6BByF","754765b8","R Class before advanced","To make a graph in R, I would first load my dataset, summarize my data and check that the variables are formatted correctly. Then I would use a  function like barplot() for bar graphs or plot() for scatter plots. I would add labels, colors, or titles/axises to make a clear formatted graph. Once it looks good, I would save the plot by exporting it as a pdf.","A challenge for me when learning R is that my other classes take up a lot of my time. This makes it harder to practice coding. When I go too long without using R, it’s easy to forget certain steps. I need more consistency even when I’m not enrolled taking a course. ","Higher paid job positions. 
Being a qualified individual carrying a unique skill to have. 
Being able to analytically and statically use a program to determine management methods. 
"
"R_7FE4fuxxc1E9hrH","8015989c","Advanced only","","",""
"R_2OE9s8nyG0uWyv4","83352107","R Class only","Make sure that you have all of the correct data stored for the graph needed (vector, data frame, etc.) then use whichever graph function correlated to the type of graph you need (histogram, boxplot, etc.). Then use main, xlab, ylab to label your graph. Then make sure to use figure captions for the graph. ","I am not very good with technology, and I sometimes had trouble seeing where I went wrong in my code. ","It helps in the future when applying for jobs if you know a computer programming language. It helps in research which is a big part of the wildlife field. "
"R_3QGeCGMCSFOMlLP","8447d712","Advanced only","I would probably google ""graph making site"" or use other programs I have used in the past such as PowerPoint or Canva. ","'- Not having any prior knowledge with coding.
- The last math class I took was 2 years prior to taking this course.
- Mental Health/ Personal life events
","'- I feel like it will be very beneficial in wildlife jobs and research I do in the future. If this class wasn't required I probably would never have learned how to code and use R. This class is teaching me a whole new skill that will make it easier for me if I need to use any of these tools in future jobs."
"R_5OffgKJaXc7ElRW","84b2cd17","Advanced only","","",""
"R_3Otesb5t02bVsNr","87acb443","Advanced only","","",""
"R_7OGelKkRFHeCU6t","89184849","Advanced only","Depending on the nature of the graph I could use r coding such as ggplot functions to create a graph of I could put data into excel and create a graph through that.","I wish I had more time to dedicate to coding. I’ve been so busy with school and extracurriculars that it’s hard for me to take the time I’d like to go through the worksheets and really learn and understand the code to the best of my abilities.","I think R can assess large data sets or run computations significantly faster and more efficiently than a person could do manually."
"R_7XjHMb5vLJq12ao","89943458","Advanced only","I would likely use R having learned ways to do so it makes it much easier to create a visual than doing it by hand or in another program.","The biggest challenges is remembering different functions. Practice is another challenge that I feel can be hard, if I don’t have a class for it, I don’t think I’d be able to consistently retain how to use R.","Using programming languages helps assessing larger datasets and can create ways to make research accurate and provide an easy way to visualize it for the public"
"R_6eSi8uW5FogBlUl","8d3608bf","R Class only","Today, I would take the data from my written notebook, and enter it into a R workplace in positcloud, and use R to create the needed figures and analyses. Earlier, I would have used excel, but I feel that the ability to use code to sort, filter, or apply calculations to data is more intuitive to me personally.","The main challenges I still face with R involve my knowledge of the built in graphing functions in R. I still have issues remembering how to add specific changes that I want to graphs using R code, as I just haven't used these functions to make these changes enough. Some examples of this include adding lines of best fit, adding labels in specific locations, and changing the grid format.","The main benefit I see in R is that it is very intuitive compared to other languages, in that there is a lot less specification needed when defining and using objects. In other languages I've used, errors are much more common because some object wasn't defined in the correct way. "
"R_2ZSuaQNPPfyTGgN","91165484","R Class only","I would use one of the plot functions in R and change the necessary parameters for how I would like to present the data.","Nothing really, other than just how much information there is out there. It can be hard to reduce this down to what is necessary for what I want to do since there is so much.","Programming is immensely important because computers can do things that the human brain cannot. This is important for things like processing large amounts of data or doing multiple tasks at once."
"R_6eWF3N4SHDt3Gn6","946b4590","Advanced only","I would go to posit cloud, upload my data that I would be using, and make a histogram or bar plot. ","It is very difficult, I can't make it to the labs, not a good math foundation","Good for a cv and job opportunities"
"R_34LT122guSg5BCG","bc57748c","Advanced only","I would most likely use excel to organize the data and make the graph. Then I would use Word to upload the figure and add captions. ","I feel as though I have a severe lack of foundation and background knowledge. ","It seems very time efficient and is able to complete tasks I would not be able to do on my own. "
"R_3cjOxARLSIWnmIp","bee230f3","R Class concurrent with advanced","Open R through the desktop application, upload the data (likely using read.csv), ensure the data looks correct using head() or another similar function, and use a graphing function like hist or plot to produce a graph with specifications to my liking (labels, colors, keys, etc).","When trying to troubleshoot or learn more information online, a lot of public forums or tutorials on R don't feel like they're aimed at beginners and require a lot of background knowledge about the program that I don't have. It can be difficult to get information outside of the classroom setting.","R is a good tool for analyzing data and is also used by a lot of agencies. Knowing how to use R (or similar programming languages) would help me be able to conduct research, work with data, and has the bonus of serving as a great bullet point on a CV."
"R_3NMbLevKK6xlgxH","c162606b","Advanced only","","",""
"R_3DUpGnrCnM6kSXd","c162606b","Advanced only","","I think the fast paced environment of a university level class makes it hard to retain the information for when it is needed. Since we're learning so much code in little time, it is sometimes hard to remember how to code what's needed, but I am able to remember the process.","I want to keep pursuing research. Knowing how to use R ensures a competitive edge against other applicants and ensures independence in my own future projects."
"R_7f66WPSyTQxBbd7","c5119a87","R Class concurrent with advanced","Depends on the type of data I was working with, usually the stuff I'm given both at my work and in class would be stuff that I could likely sort out in excel and produce decent graphs in the powerpoint. If I knew a bit more about transferring data that I personally collect into R, then I would likely be more comfortable making graphs there. ","I still don't feel its as intuitive as I want it to be and there are a lot of commands to keep track of for coding exactly how I want to. There are many times where I feel like I perfectly understand what the questions asked of me are and I get the subject but I can't translate those thoughts to R","Definitely speeding up the processing of data and getting more meaningful results out of it once I become proficient enough at it. "
"R_7JOCtyiacPCfW6K","cbec6f92","Advanced only","Either in R using ggplot or in Excel ","Classes that teach R do not require you to write your own code. You can get through Quantitative Ecology and Population Ecology just by copying and pasting code and editing the code written by the professor. ","It is a skill I can put on my CV and I will probably need to use it in future research jobs, so it is good to know. "
"R_2UaWOwp9FIrovbn","cbee50e6","Advanced only","I would base how I produce the graph off of the information being presented in the report/presentation. I feel comfortable enough with R now to make pretty simple graphs and feel like I would be able to look up pieces of code to plug into my script as needed for simple tasks like changing dot symbols or colors. I feel like anything requiring more complex formatting would be much more difficult and frustrating if I was expected to do it alone. I would likely seek out mentors or tutors for assistance. Any manual adjustments to visual data I would likely draw myself on my iPad through the Procreate app since I feel more confident in my drawing skills than my coding skills.","The man challenges I feel are things like User Interface difficulties and vocabulary difficulties. I feel that often when I try to look up how to solve an issue in code, the answer provided often has code pieces in it that I am not familiar with that are not explained and I then have to try and track that information down. I am a visual learner and being able to define what each portion of the code does to the final product is very helpful, so blocking out pieces and defining them is very helpful like “ the section between these parentheses adjusts the color of the line” and highlighting that portion of the code.","I feel like R and other programming languages will be very beneficial for digital science communication as they provide avenues of visual organization that are much easier for people to read, and is significantly faster to create than manual drawings."
"R_2Ol7xldeeSYWv1n","d7b08ae3","Advanced only","Typically I use Excel to produce graphs because I like being able to customize them without coding for it. This has worked in the past for me for simple graphs such as bar plots, scatterplots, etc. However, if it were a more complicated graph or one that involved more variables than I know how to input in Excel, I'd likely use RStudio on Posit Cloud. ","Lack of exposure. Outside of class and some of my research, I don't use it frequently, so it fades away.","I see the benefit in reducing human error through hand calculations or calculations in a spreadsheet program where a person could forget to highlight certain cells or make other mistakes. It's also much quicker because you can automate certain tasks and create formulas so you're not retyping the same thing many times. "
"R_1qaYPGjMHyGZBE5","d8fa0285","Advanced only","","",""
"R_7SnQeT53BRbOJYl","e4aa8261","R Class only","I would either use base R if I had data that I know how to work with, but if it was unfamiliar, I would go to Google Sheets and create a graph directly from there. I would use google sheets for qualitative data as well. I feel like I do not yet have enough experience with R to know the ins and outs of figuremaking just yet. ","The ability to remember something after not having done it in a while, like for the final project review of this 4934 class having to do stuff with dataframes, loops, lists, etc. I feel like I have a hard time knowing how to do something without asking for help or looking something up if I haven't done it within the week, though I'm sure that with some practice I'll be better about that. ","The ability to have all your work in one place: text entries, code, figures, etc. instead of having to bounce around between excel, word, and other softwares. "
"R_3eW8VNnsLW6HeJX","e51ef7ce","R Class only","Create a vector of values, plot values using the best graph format for the data, use labels and heading for the axes","Mainly lack of motivation; I don't necessarily find myself uninterested in the material (I actually think it's pretty cool), I am just not the biggest fan of math generally and I found that bleeding into my participation/motivation a lot.","Better organization for projects needing code and more job opportunities; furthering education"
"R_7pM5SVwI2FSGKDK","e629def9","R Class only","Canva for basic graphs, but R Studio over Excel. ","Little application in my current work, in addition to my minimal math background. However, if I saw myself working with quantitative data in the future, I recognize its value as a valuable skill to have. ","Data transparency, replicability, and uniformity within the ecology field"
"R_68NXaQVT8PUYg2l","e7d8b257","Advanced only","","",""
"R_59unD0LAH6gHbYp","eab4aff7","R Class only","If I were asked to produce a graph using R, I would utilize base R (however, I think it would be beneficial if we used ggplot as it is more often used). Based on the type of graph needed, I would call the function (barplot, hist, etc.). I would then either put in the arguments for the data (x,y variables) and add axis labels and a graph title. Once I edit the graph to my liking (i.e. adding abline, adding legends, etc.), I would save the graph as a file and then export it to my computer.","Some challenges I foresee are getting into the nitty gritty of the statistical side of R as well as data cleaning. I hope to continue learning the quantitative side of R, so that I can better navigate research questions in the future. I also foresee a challenge of 'the use it or lose it' prerogative; I imagine if fail to use R after this semester for an extended period of time, I may struggle to restart. ","Some clear benefits include the data visualization, statistical tools, and overall efficiency within the programming. "
"R_5QDSn7nx3ifjSpY","f3cf9d00","Advanced only","","",""
"R_1QSfKRNQck51qlm","f3cf9d00","Advanced only","I would likely use R or Excel, but it depends on the dataset and the context of the presentation/report.","Maybe time available to practice","R is a lot more streamlined than other computing software so it can speed up the data analysis aspect of research. Also, plugins like ggplot can make nicer-looking graphs for presentations."
"R_6jSSSH8AG8QvtQt","f8c38a92","Advanced only","","",""
